index,text
Dindex,['text']
D0,"['100', 'best', 'places', 'to', 'visit', 'in', 'usa', 'valley', 'of', 'fire', 'state', 'park', 'nv', '4qmoeho', 'https', 't', 'co', '5lxzqsjsza', 'bassino', 'kanyewest', 'childhood', 'kystateparks', 'young', 'wato', 'defense', 'southernontario', 'nativeamerican', 'patriots', 'atthebiga', 'https', 't', 'co', 'e3gds1ruoh']"
D1,"['can', 'we', 'all', 'agree', 'that', 'ye', 'has', 'a', 'point', 'kanyewest', 'ye2024', 'joebiden']"
D2,"['2022', '12', '19t10', '00', '04', '5267368z', '50', 'off', 'get', 'yours', 'now', 'https', 't', 'co', 'bqd5jbswpk', 'gamergirl', 'videogame', 'gamer', 'gaming', 'retrogame', 'kanyewest', 'kimkardashian', 'justinbieber']"
D3,"['kanyewest', 'suck', 'my', 'di̇ck']"
D4,"['50', 'off', 'get', 'yours', 'now', 'https', 't', 'co', 'gugpbkeeof', 'gamergirl', 'videogame', 'gamer', 'gaming', 'retrogame', 'kanyewest', 'kimkardashian', 'justinbieber', 'december', '19', '2022', 'at', '04', '29pm']"
D5,"['ye', 'is', 'the', 'most', 'recognised', 'and', 'original', 'jew', 'that', 's', 'why', 'they', 'hate', 'him', 'because', 'they', 'aren', 't', 'just', 'self', 'elected', 'and', 'made', 'jews', 'chosen', 'one', 's', 'ha', 'ha', 'they', 'are', 'deluded', 'ye', 'kanyewest', 'jewishmafia', 'antichristianity', 'jews', 'deluded']"
D6,"['kanye', 'did', 'nothing', 'wrong', 'hitler', 'ye', 'kanyewest']"
D7,"['50', 'off', 'get', 'yours', 'now', 'https', 't', 'co', 'gugpbkeeof', 'gamergirl', 'videogame', 'gamer', 'gaming', 'retrogame', 'kanyewest', 'kimkardashian', 'justinbieber', 'december', '19', '2022', 'at', '03', '29pm']"
D8,"['now', 'playing', 'bobby', 'brown', 'rock', 'wit', 'cha', 'listen', 'here', 'https', 't', 'co', 'lwzld4y7sj', 'sister', 'rita', 'x', 'show', 'airs', 'daily', 'from', '4pm', 'pst', 'to', '6pm', 'pst', 'https', 't', 'co', 'ws56iygoom', 'chicago', 'kanyewest', 'atl', 'lasvegas', 'buffalo', 'pt', 'ghana', 'france', 'nm', 'dublin', 'kenya', 'ye', 'radiostation']"
D9,"['kanyewest', 'is', 'one', 'of', 'top', '3', 'favorite', 'rappers', 'just', 'listen', 'to', 'his', 'verse', 'on', 'runthistown']"
D10,"['elonmusk', 'shot', 'yourself', 'in', 'foot', 'musk', 'needed', 'to', 'stop', 'micro', 'managing', 'stop', 'being', 'twitter', 'nanny', 'be', 'free', 'speech', 'absolutist', 'instead', 'you', 'suspended', 'father', 'of', 'information', 'culture', 'war', 'alexjones', 'suspended', 'artist', 'visionary', 'kanyewest', 'suspended', 'journalists', 'and', 'shadow', 'banned', 'me', 'tsk', 'tsk', 'smh']"
D11,"['100', 'best', 'places', 'to', 'visit', 'in', 'usa', 'san', 'antonio', 'missions', 'national', 'historical', 'park', 'tx', 'wn4gnjx', 'https', 't', 'co', 'clq3cjmlbe', 'murder', 'birth', 'cardiffcity', 'girlstennis', 'youngsville', 'waynesboro', 'leeds', 'infinity', 'kanyewest', 'got7', 'millbay', 'jcmo', 'surveillance', 'https', 't', 'co', '8uct35fd72']"
D12,"['the', 'sister', 'rita', 'x', 'show', 'airs', 'daily', 'from', '4pm', 'pst', 'to', '6pm', 'pst', 'https', 't', 'co', 'ws56iygoom', 'chicago', 'kanyewest', 'atl', 'lasvegas', 'buffalo', 'pt', 'ghana', 'france', 'nm', 'dublin', 'kenya', 'ye', 'radiostation']"
D13,"['repent', 'ye', 'british', 'studio', 'helps', 'ex', 'fans', 'of', 'kanyewest', 'get', 'rid', 'of', 'their', 'tattoos', 'https', 't', 'co', 'yox6makzvn']"
D14,"['now', 'playing', 'wham', 'everything', 'she', 'wants', 'listen', 'here', 'https', 't', 'co', 'lwzld4y7sj', 'sister', 'rita', 'x', 'show', 'airs', 'daily', 'from', '4pm', 'pst', 'to', '6pm', 'pst', 'https', 't', 'co', 'ws56iygoom', 'chicago', 'kanyewest', 'atl', 'lasvegas', 'buffalo', 'pt', 'ghana', 'france', 'nm', 'dublin', 'kenya', 'ye', 'radiostation']"
D15,"['the', 'bishop', 'un', 'chained', 'like', 'share', 'amp', 'subscribe', 'to', 'iuic', 'oklahoma', 'on', 'youtube', 'oklahomacity', 'kanye', 'ye', 'jew', 'jewish', 'antisemitic', 'antisemetism', 'instagram', 'explore', 'kanyewest', 'youtube', 'christ', 'christianity', 'deuteronomy28', 'redmedia', 'https', 't', 'co', '4fdicn4g6c']"
D16,"['fuck', 'you', 'kanyewest', 'gt', 'happy', 'first', 'day', 'of', 'hanukkah', 'heres', 'a', 'cookie', 'i', 'made', 'https', 't', 'co', 'bqpueqwnb6']"
D17,"['2022', '12', '19t07', '00', '12', '4386912z', '50', 'off', 'get', 'yours', 'now', 'https', 't', 'co', 'ptbw0kjew3', 'gamergirl', 'videogame', 'gamer', 'gaming', 'retrogame', 'kanyewest', 'kimkardashian', 'justinbieber']"
D18,"['hear', 'the', 'voice', 'of', 'your', 'ancestors', 'muhammadali', 'kyrieirving', 'kanyewest', 'd', 'https', 't', 'co', 'br97ckkbkx', 'via', 'youtube', 'ali', 'hitting', 'ws', 'with', 'the', 'fists', 'of', 'truth', 'amp', 'logic']"
D19,"['here', 's', 'a', 'ytshorts', 'from', 'our', 'latest', 'live', 'show', 'full', 'show', 'here', 'https', 't', 'co', 'werf6cyb01', 'where', 'mark', 'and', 'jason', 'discuss', 'what', 'everybody', 'gets', 'wrong', 'about', 'kanyewest', 'kanyeisright', 'kanye', 'kanyeisanazi', 'ye', 'https', 't', 'co', 'f31olqg7mm']"
D20,"['kanyewest', 'hope', 'you', 'can', 'say', 'happy', 'hanukkah', 'bless', 'you', 'ye']"
D21,"['keep', 'the', 'commandments', 'and', 'stop', 'sinning', 'visit', 'our', 'website', 'here', 'https', 't', 'co', 'hrymxnvom4', 'iuic', 'iuicphoenix', 'iuictv', 'stopsinningsunday', 'nbacentral', 'kyrieirving', 'theshaderoom', 'barclays', 'ye', 'kanyewest', 'jewish', 'jew', 'antisemitism', 'blacktwitter', 'https', 't', 'co', '8rlat2okcp']"
D22,"['lindyli', 'wow', 'anti', 'semitism', 'and', 'islamophobia', 'all', 'in', 'one', 'tweet', 'you', 'obviously', 'are', 'an', 'agent', 'for', 'the', 'ccp', 'checking', 'in', 'on', 'china', 's', 'latest', 'recruit', 'investment', 'joe', 'biden', 'and', 'making', 'sure', 'he', 'is', 'following', 'the', 'plan', 'elongoat', 'kanyewest', 'twintowerswereaninsidejob', 'https', 't', 'co', 'cd8suilm8s']"
D23,"['diedsuddenly', 'elonmusk', 'elonmusk', 'indeed', 'kanyewest', 'was', 'right', 'https', 't', 'co', 'kjhtpql0zv', 'we', 'need', 'you', 'to', 'continue', 'allowing', 'free', 'speech', 'also', 'consider', 'https', 't', 'co', 'awpglngqja', 'facts', 'are', 'facts', 'nothing', 'more']"
D24,"['dove', 'style', 'care', 'curls', 'defining', 'mousse', 'soft', 'hold', '7', 'oz', 'pack', 'of', '3', 'oaznct5', 'https', 't', 'co', 'ldait2i2ye', 'boston', 'chicken', 'scotch', 'govt', 'birding', 'fashion', 'amcbuzz', 'murder', 'smartwatch', 'preciousmetals', 'eth', 'mets', 'kanyewest', 'cam', 'https', 't', 'co', 'byzysv6ocx']"
D25,"['our', 'friend', 'kanyewest', 'is', 'not', 'crazy', 'reject', 'this', 'narrative', 'if', 'you', 'are', 'wise']"
D26,"['2022', '12', '19t05', '00', '15', '0082651z', '50', 'off', 'get', 'yours', 'now', 'https', 't', 'co', 'biihvd6rft', 'gamergirl', 'videogame', 'gamer', 'gaming', 'retrogame', 'kanyewest', 'kimkardashian', 'justinbieber']"
D27,"['yes', 'kanyewest', 'has', 'not', 'been', 'paying', 'his', 'office', 'rent', 'however', 'he', 'also', 'moved', 'out', 'of', 'the', 'office', 'several', 'months', 'ago', 'so', 'doesn', 't', 'really', 'care', 'if', 'they', 'evict', 'him', 'spillinjuices', 'https', 't', 'co', 'nbfqk9f5k5']"
D28,"['masterpmiller', 'show', 'kanye', 'the', 'factory', 'you', 'always', 'had', 'the', 'products', 'just', 'needed', 'a', 'little', 'more', 'specifics', 'on', 'the', 'styles', 'and', 'designs', 'snoophoopz']"
D29,"['kanye', 'vs', 'the', 'world', 'https', 't', 'co', 'pijiklukiq']"
D30,"['attacker', 'yells', 'kanye', '2024', 'during', 'antisemitic', 'assault', 'police', 'say', 'according', 'man', '2024', 'kanye', 'central', 'york', 'yells', 'nypd', 'adl', 'attacker', 'attack', 'say', 'park', 'antisemitic', 'hate', 'assault', 'https', 't', 'co', 'vdaxd0yzcu', 'https', 't', 'co', 'u5b7x41yle']"
D31,"['myspacetom', 'elonmusk', 'kanye', 'is', 'poised', 'to', 'take', 'over', 'the', 'controls']"
D32,"['maybe', 'they', 'should', 'legalize', 'the', 'drugs', 'people', 'are', 'taking', 'so', 'americans', 'stop', 'dying', 'messi𓃵', 'drugs', 'fent', 'wiggers', 'warondrugs', 'waronwomen', 'mbappe', 'worldcupfinal', 'addictionrecovery', 'rehab', 'andrewtate', 'elon', 'trump', 'joe', 'britneygriner', 'tiktok', 'viral', 'nfts', 'crypto', 'letsgobrandon', 'kanye', 'https', 't', 'co', 'xcpecwgqw8']"
D33,"['soccer', 'is', 'boring', 'football', 'is', 'cool', 'soccer', 'is', 'the', 'opiate', 'of', 'the', 'masses', 'socialismoesmiseria', 'usa', 'messi𓃵', 'trumptraitorcards', 'westandwithshiffa', 'weloveayesha', 'poshmark', 'nftgiveaways', 'nftsales', 'priyankit', 'chinaprotests', 'chine', 'podcastandchill', 'magatears', 'kanye', 'nickcarter', 'topg']"
D34,"['kanye', 'was', 'right', 'i', 'm', 'a', 'day', 'on', 'twitter', 'n', 'all', 'i', 'see', 'is', 'jew', 'this', 'jew', 'that', 'pretty', 'sure', 'it', 's', 'a', 'sim', 'for', 'these', 'religious', 'fucks', 'to', 'use', 'science', 'n', 'basically', 'an', 'medical', 'machine', 'in', 'hospitals', 'https', 't', 'co', '9glggxosze']"
D35,"['does', 'it', 'feel', 'like', 'more', 'republicans', 'are', 'going', 'out', 'of', 'their', 'way', 'this', 'year', 'to', 'say', 'happyhanukkah', 'i', 'wonder', 'if', 'that', 'has', 'anything', 'to', 'do', 'with', 'kanye', 'or', 'maybe', 'i', 'm', 'just', 'noticing', 'it', 'more', 'because', 'of', 'kanye']"
D36,"['i', 'want', 'to', 'wish', 'kanye', 'a', 'happy', 'hanukkah', 'kanye', 'hanukkah', 'happyholidays']"
D37,"['arielhelwani', 'wont', 'ever', 'talk', 'about', 'apartheid', 'palestine', 'but', 'he', 'will', 'go', 'on', 'about', 'kanye', 'or', 'messi', 'its', 'the', 'ability', 'for', 'some', 'jewish', 'ppl', 'to', 'change', 'all', 'conversation', 'to', 'antisemitism', 'to', 'deflect', 'real', 'issues', 'dont', 'change', 'fact', 'goat𓃵', 'of', 'mma', 'ufc', 'a', 'muslim', 'named', 'teamkhabib', 'worldcup', 'https', 't', 'co', 'ntdlje4tax', 'https', 't', 'co', '77kx5lhmt6']"
D38,"['keithedwards', 'nytimes', 'the', 'new', 'york', 'times', 'is', 'simply', 'being', 'honest', 'with', 'us', 'about', 'the', 'fact', 'that', 'they', 'are', 'so', 'antisemitic', 'it', 'would', 'make', 'kanye', 'blush']"
D39,"['do', 'you', 'want', 'to', 'see', 'people', 'like', 'kanye', 'completely', 'lose', 'their', 'mind', 'if', 'elonmusk', 'does', 'step', 'down', 'he', 'should', 'make', 'jaredkushner', 'ceo', 'of', 'twitter', 'they', 'were', 'together', 'recently', 'perhaps', 'that', 's', 'what', 'they', 'were', 'talking', 'about', 'https', 't', 'co', 'u15h5tyizf']"
D40,"['lol', 'at', 'people', 'with', 'kanye', 'west', 'tattoos', 'https', 't', 'co', 'uqq1xicnox', 'kanye', 'kanyewest', 'ye', 'tattoo', 'tattoos', 'antisemitism', 'rap', 'hiphop']"
D41,"['decent', 'after', 'dark', 'ep', '11', 'decent', 'does', 'warzone', 'live', 'warzone', 'callofduty', 'mw2', 'podcast', 'newepisode', 'elon', 'kanye', 'twitch', 'youtube', 'twitter', 'decent', 'culture', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspaces', 'omegle', 'follow', 'like', 'subscribe', 'https', 't', 'co', 'hc9yhanp2q']"
D42,"['decent', 'after', 'dark', 'ep', '11', 'decent', 'does', 'warzone', 'live', 'warzone', 'callofduty', 'mw2', 'podcast', 'newepisode', 'elon', 'kanye', 'twitch', 'youtube', 'twitter', 'decent', 'culture', 'council', 'trump', 'biden', 'tumblr', 'nfl', 'soccer', 'wef', 'twitterspaces', 'omegle', 'follow', 'like', 'subscribe', 'https', 't', 'co', 'bmlhtfllus']"
